"Dir","Name","HasFrontmatter","LineCount","Desc","Keywords"
"ue-lyra-gas-implementer","""ue-lyra-gas-implementer""","True","192","""褰撳墠椤圭洰鐨?Lyra/GAS 涓讳綋瀹炵幇鏅鸿兘浣撱€傝礋璐ｆ妸闇€姹傝惤鍒?GameFeature銆丒xperience銆丳awnData銆丄bilitySet銆丟A/GE/AS 绛変富閾捐矾銆傚凡鍚堝苟 ue57-lyra-gas-ai-singleplayer 鍜?lyra-gas-dev 鐨勭嫭鐗瑰唴瀹广€?","GAS"
"ue-project-router","""ue-project-router""","True","256","""褰撳墠椤圭洰鐨?UE 闇€姹傝矾鐢辨櫤鑳戒綋銆傚厛鍒ゆ柇涓婚摼璺€侀€夋嫨涓?skill/娆?skill銆佹寚瀹氬繀璇绘枃妗ｏ紝鍐嶅喅瀹氭槸鍚﹀惎鐢ㄥ鏅鸿兘浣撳崗浣溿€傚凡鏁村悎 Qoder 鐨?Plan 闃舵瀹屾暣娴佺▼ + 鍙嶉檷鏅哄崗璁€?","Qoder"
"ui-ux-pro-max","ui-ux-pro-max","True","102","""UI/UX璁捐鏅鸿兘浣撱€備负Web搴旂敤銆佺Щ鍔ㄧ銆佹闈㈢鎻愪緵涓撲笟绾I/UX璁捐鎸囧銆傛兜鐩朢eact/Vue缁勪欢璁捐銆乀ailwind/CSS甯冨眬銆佸彲璁块棶鎬с€佸搷搴斿紡璁捐銆佽璁＄郴缁熴€傞渶瑕佽璁″墠绔晫闈㈡椂璋冪敤銆?",""
"using-git-worktrees","using-git-worktrees","True","215","Use when starting feature work that needs isolation from current workspace or before executing implementation plans - ensures an isolated workspace exists via native tools or git worktree fallback","Use,when,starting,feature,work"
"verification-before-completion","verification-before-completion","True","229","Use when about to claim work is complete, fixed, or passing, before committing or creating PRs - requires running verification commands and confirming output before making any success claims; evidence...","Use,when,about,claim,work"
"webapp-testing","webapp-testing","True","205","""Web搴旂敤娴嬭瘯宸ュ叿鍖呫€傜敤Playwright杩涜鏈湴Web搴旂敤鑷姩鍖栨祴璇曪紝鍖呮嫭鎴浘銆佸厓绱犲彂鐜般€佹帶鍒跺彴鏃ュ織鎹曡幏銆佹湇鍔″櫒鐢熷懡鍛ㄦ湡绠＄悊銆傞€傜敤浜庡墠绔姛鑳介獙璇併€佸洖褰掓祴璇曘€乁I璋冭瘯銆?",""
"web-engineer","""web-engineer""","True","47","""Web 瀹炵幇瀛?agent銆俁eact/Vue 缁勪欢銆丯ode 鍚庣銆丷EST API銆?","Web,Vue"
"web-fullstack","web-fullstack","True","140","""閫氱敤缃戦〉鍏ㄦ爤寮€鍙戙€傝鐩栧墠鍚庣锛圧eact/Vue + Node/Java/Go/Python锛夈€丷ESTful API璁捐銆佹暟鎹簱鎿嶄綔銆侀」鐩灦鏋勩€侀儴缃层€傞潪UE椤圭洰寮€鍙戞椂璋冪敤銆?","Vue,Node,Java"
"web-implementer","""web-implementer""","True","92","""Web 瀹炵幇鏅鸿兘浣?鈥?璐熻矗 Web 椤圭洰鐨?Implement 闃舵钀藉湴锛屽己鍒?can-edit 闂ㄧ涓庣湡瀹?skill 鍔犺浇""","Web,Web"
"windows-desktop-control","windows-desktop-control","True","226","""Windows 妗岄潰鎿嶆帶鑳藉姏銆傞€氳繃 pywinauto (UIA) + pyautogui (鎴浘/閿紶) + unreal-mcp (UE5 Editor) 瀹炵幇涓夊眰娣峰悎妗岄潰鎿嶆帶銆?","Windows,pywinauto,UIA,pyautogui,unreal-mcp"
"writing-plans","writing-plans","True","152","Use when you have a spec or requirements for a multi-step task, before touching code","Use,when,you,have,spec"
"writing-skills","writing-skills","True","655","Use when creating new skills, editing existing skills, or verifying skills work before deployment","Use,when,creating,new,skills"
"xg-uecpp-course","""xg-uecpp-course""","True","321","""UE C++ course reference. Covers containers (TArray/TMap/TSet), delegates, multithreading, HTTP/WebSocket/TCP networking, smart pointers, Subsystems, GAS, Enhanced Input, Slate standalone programs, an...","course,reference,Covers,containers,TArray"
"金璃好帮手","""閲戠拑濂藉府鎵?","True","501","""閲戠拑濂藉府鎵?鈥?瀹炵幇鏅鸿兘浣撱€傝礋璐ｆ寜 spec 瀹炵幇浠ｇ爜銆佺紪璇戦獙璇併€侀噸澶嶆娴嬨€佸鐓?spec 鑷銆傞€氳繃鍔ㄦ€佸姞杞?skill 鍒囨崲棰嗗煙鐭ヨ瘑锛圲E5/Web锛夈€傚悎骞朵簡鍘?ue-lyra-gas-implementer銆亀eb-implementer銆乽e-ai-validator銆乧ode-quality-reviewer 鐨勮亴璐ｃ€?","spec"
"金璃小天才","""閲戠拑灏忓ぉ鎵?","True","649","""閲戠拑灏忓ぉ鎵?鈥?Plan 闃舵鏅鸿兘浣撱€傝礋璐ｉ渶姹傛緞娓呫€佽璁℃枃妗ｆ绱€侀殣鎬ч渶姹傛帹瀵笺€佷緷璧栭摼鎺ㄥ銆佹垚鐔熸柟妗堟悳绱€佷换鍔℃媶鍒嗗拰 spec 鐢熸垚銆備笉璐熻矗瀹炵幇浠ｇ爜銆?","spec"
